gt,prompt
复印件,定义为'通过复印机复制原始文件或图片所得到的副本'的是什么，请用一个词回答？
通行证,定义为'大陆居民往来台湾通行证的简称'的是什么，请用一个词回答？
一米线/一米等待线,定义为'距离营业窗又或柜台前一米远的地面上画出的横线'的是什么，请用一个词回答？
空乘人员,定义为'在飞机上负责为乘客提供服务和确保飞行安全的工作人员'的是什么，请用一个词回答？
机场大巴,定义为'往返市内与机场的接送旅客的专用客车'的是什么，请用一个词回答？
空中客车,定义为'一家总部位于欧洲的全球领先的飞机制造公司'的是什么，请用一个词回答？
动车,定义为'时速在200~250公里的铁路线路'的是什么，请用一个词回答？
普快/普通快速列车,定义为'车次没有用字母表示类别'的是什么，请用一个词回答？
乘警,定义为'火车上负责治安保卫工作的警察'的是什么，请用一个词回答？
铁警,定义为'负责铁路安全保卫工作的警察'的是什么，请用一个词回答？
磁悬浮列车,定义为'利用电磁作用力，在轨道上方悬浮、高速前进的列车'的是什么，请用一个词回答？
旅客信息中心,定义为'为旅客提供旅行信息建议和帮助的服务设施'的是什么，请用一个词回答？
站台,定义为'供乘客上下车或等待交通工具的地方，常见于火车站、公交站'的是什么，请用一个词回答？
站台票,定义为'一种让持票者有权在火车站的站台上接送乘客但不乘坐火车的票'的是什么，请用一个词回答？
地铁,定义为'一种在地下或地面上运行的城市公共交通工具'的是什么，请用一个词回答？
屏蔽门,定义为'屏蔽门是一种用于阻挡电磁波传播的特殊门。'的是什么，请用一个词回答？
中转站,定义为'指在运输过程中，货物或者人员需要暂时停留，更换交通工具或者方向的地方'的是什么，请用一个词回答？
公交枢纽站,定义为'一个集中了多条公交线路的交通节点，乘客可以在此站点换乘不同的公交线路'的是什么，请用一个词回答？
公共交通,定义为'指由政府或私人公司提供的，供公众使用的大众运输服务，如公交车'的是什么，请用一个词回答？
公交车,定义为'一种公共交通工具，主要用于城市内部或城市之间的乘客运输'的是什么，请用一个词回答？
售票员,定义为'在电影院、火车站、公交站等地方负责售卖票据的工作人员'的是什么，请用一个词回答？
老幼病残孕专座,定义为'公共交通工具上为有需要的乘客群体如老人、儿童、病人划定的座位'的是什么，请用一个词回答？
立交桥,定义为'一种交通枢纽设施，通过设置不同层级的桥梁使得交叉的道路能够互不干扰地交通'的是什么，请用一个词回答？
道口,定义为'铁路和平面道路交叉的地方'的是什么，请用一个词回答？
转盘,定义为'指交叉路口中间分流车辆的环形岛'的是什么，请用一个词回答？
警示桶,定义为'一种用于警告和指示的安全设施，通常在道路施工，交通管制等场所使用'的是什么，请用一个词回答？
隔离墩,定义为'设置在道路中间或两侧，用于隔离车道，保护行人和非机动车辆安全的交通设施'的是什么，请用一个词回答？
高𡶶时刻,定义为'指在一定时间周期内相关服务的使用频率极高，以至于出现拥塞或服务质量降低的一段时间'的是什么，请用一个词回答？
出租汽车,定义为'一种提供有偿载客服务的公共交通工具'的是什么，请用一个词回答？
打的,定义为'打的是中国的口语表达'的是什么，请用一个词回答？
起步价,定义为'指服务或商品的最低收费标准，即无论服务或商品的使用量如何，都需要支付的最低费用'的是什么，请用一个词回答？
班车,定义为'指按照固定的时间和路线运行，用于接送员工，学生等特定群体的交通工具'的是什么，请用一个词回答？
面包车,定义为'一种中小型的，通常用于运输货物或者人员的封闭式汽车'的是什么，请用一个词回答？
协警,定义为'协助公安工作的警务辅助人员'的是什么，请用一个词回答？
长途汽车,定义为'一种设计用于长距离旅行的大型公共交通工具'的是什么，请用一个词回答？
私家车,定义为'个人或家庭拥有并用于个人或家庭出行的汽车'的是什么，请用一个词回答？
黑车,定义为'指未经过正规注册或未取得合法营运许可，私自从事载客或货运活动的非法出租车'的是什么，请用一个词回答？
房车,定义为'一种具有居家必备基本设施的汽车，俗称“车轮上的家”'的是什么，请用一个词回答？
拖挂车,定义为'一种没有动力，需要由汽车或其他动力车辆牵引的车辆'的是什么，请用一个词回答？
自行车,定义为'一种有两个轮子，由人力脚踏驱动的交通工具'的是什么，请用一个词回答？
山地车,定义为'一种特殊设计用于山地骑行的自行车，具有强大的越野能力和耐用性'的是什么，请用一个词回答？
摩托,定义为'一种两轮或三轮的机动车辆，主要用于个人或小型货物的运输'的是什么，请用一个词回答？
踏板摩托车,定义为'一种结合了自行车踏板和摩托车动力系统的交通工具'的是什么，请用一个词回答？
车距,定义为'指一辆车与前方车辆的距离'的是什么，请用一个词回答？
交通拥堵,定义为'指由于车辆过多或道路状况不佳，导致车辆无法正常，顺畅地行驶的情况'的是什么，请用一个词回答？
追尾,定义为'指一辆车在行驶过程中，由于距离前车过近或反应不及，撞上前车的尾部的交通事故'的是什么，请用一个词回答？
酒精测试仪,定义为'一种用于检测人体呼出气体中酒精含量的设备，常用于酒驾检测'的是什么，请用一个词回答？
驾校,定义为'一种教育机构，专门负责教授和训练学员驾驶技术，帮助他们获取驾驶执照'的是什么，请用一个词回答？
违规记分,定义为'一种对违反规定或行为不当的个体进行惩罚的制度，通常以积累一定分数后会受到相应的处罚'的是什么，请用一个词回答？
罚款,定义为'一种法律制裁手段，指因违反法律，法规或规章制度而被要求支付一定金额的处罚'的是什么，请用一个词回答？
后备箱,定义为'汽车后部用于存放行李或其他物品的储物空间'的是什么，请用一个词回答？
反视镜,定义为'装置在车内或车外两侧专供司机观察后面情况的镜子'的是什么，请用一个词回答？
示廓灯,定义为'车辆上用来标识车辆轮廓和大小的灯光设备'的是什么，请用一个词回答？
后位灯,定义为'汽车尾部的灯，用于在夜间或视线不好的情况下，提醒后方的车辆和行人自己车辆的存在'的是什么，请用一个词回答？
转向灯,定义为'汽车上用来指示车辆将要改变行驶方向的信号灯'的是什么，请用一个词回答？
挂挡,定义为'指在驾驶汽车时，通过改变汽车的传动装置中的齿轮比例，以适应汽车行驶的不同速度和路况'的是什么，请用一个词回答？
减挡,定义为'指在驾驶过程中，为了适应路况或车速变化，将汽车的变速器从高挡位调整到低挡位的操作'的是什么，请用一个词回答？
自动挡,定义为'一种汽车变速器，它可以自动改变汽车的齿轮比例，无需驾驶员手动切换'的是什么，请用一个词回答？
手动挡,定义为'一种汽车传动系统，驾驶员需要手动切换汽车的档位'的是什么，请用一个词回答？
尾气,定义为'指汽车、飞机等燃烧燃料后排放出的废气'的是什么，请用一个词回答？
旅游局,定义为'一个政府部门，负责规划，管理和推广一个地区或国家的旅游业务'的是什么，请用一个词回答？
旅游胜地,定义为'指因其自然风光、历史文化、艺术建筑等特色吸引大量游客前来参观的地方'的是什么，请用一个词回答？
步行街,定义为'指仅允许行人步行的区域'的是什么，请用一个词回答？
